url;title;category;stars;price;in_stock
http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html;Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More;Food and Drink;3;£30.52;In stock (19 available)
http://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html;Pop Gun War, Volume 1: Gift;Sequential Art;1;£18.97;In stock (16 available)
http://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html;Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics;History;2;£36.28;In stock (16 available)
http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html;#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.;Nonfiction;5;£23.11;In stock (17 available)
http://books.toscrape.com/catalogue/sharp-objects_997/index.html;Sharp Objects;Mystery;4;£47.82;In stock (20 available)
http://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html;The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy;Add a comment;4;£23.89;In stock (16 available)
http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html;Chase Me (Paris Nights #2);Romance;5;£25.27;In stock (19 available)
http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html;Without Borders (Wanderlove #1);New Adult;2;£45.07;In stock (16 available)
http://books.toscrape.com/catalogue/patience_916/index.html;Patience;Sequential Art;3;£10.16;In stock (16 available)
http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html;Sapiens: A Brief History of Humankind;History;5;£54.23;In stock (20 available)
http://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html;The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing;Nonfiction;3;£16.77;In stock (16 available)
http://books.toscrape.com/catalogue/black-dust_976/index.html;Black Dust;Romance;5;£34.53;In stock (19 available)
http://books.toscrape.com/catalogue/the-requiem-red_995/index.html;The Requiem Red;Young Adult;1;£22.65;In stock (19 available)
http://books.toscrape.com/catalogue/when-we-collided_955/index.html;When We Collided;Contemporary;1;£31.77;In stock (16 available)
http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html;Birdsong: A Story in Pictures;Childrens;3;£54.64;In stock (19 available)
http://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html;The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer;Default;5;£20.59;In stock (16 available)
http://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html;Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1);Sequential Art;4;£15.44;In stock (16 available)
http://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html;orange: The Complete Collection 1 (orange: The Complete Collection #1);Sequential Art;1;£48.41;In stock (16 available)
http://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html;The Gutsy Girl: Escapades for Your Life of Epic Adventure;Nonfiction;1;£37.13;In stock (16 available)
http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html;We Love You, Charlie Freeman;Fiction;5;£50.27;In stock (16 available)
http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html;The Dirty Little Secrets of Getting Your Dream Job;Business;4;£33.34;In stock (19 available)
http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html;America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana;Default;3;£22.50;In stock (19 available)
http://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html;Online Marketing for Busy Authors: A Step-By-Step Guide;Self Help;1;£46.35;In stock (16 available)
http://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html;The Electric Pencil: Drawings from Inside State Hospital No. 3;Nonfiction;1;£56.06;In stock (16 available)
http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html;The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull;Default;3;£17.93;In stock (19 available)
http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html;Aladdin and His Wonderful Lamp;Default;3;£53.13;In stock (19 available)
http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html;Untitled Collection: Sabbath Poems 2014;Poetry;4;£14.27;In stock (16 available)
http://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html;On a Midnight Clear;Add a comment;3;£14.07;In stock (16 available)
http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html;The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics;Default;4;£22.60;In stock (19 available)
http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html;The Death of Humanity: and the Case for Life;Philosophy;4;£58.11;In stock (16 available)
http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html;Worlds Elsewhere: Journeys Around Shakespeare’s Globe;Nonfiction;5;£40.30;In stock (18 available)
http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html;Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness;Nonfiction;4;£44.18;In stock (16 available)
http://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html;The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life;Health;3;£49.05;In stock (16 available)
http://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html;Obsidian (Lux #1);Young Adult;2;£14.86;In stock (16 available)
http://books.toscrape.com/catalogue/wall-and-piece_971/index.html;Wall and Piece;Art;4;£44.18;In stock (18 available)
http://books.toscrape.com/catalogue/the-black-maria_991/index.html;The Black Maria;Poetry;1;£52.15;In stock (19 available)
http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html;Unicorn Tracks;Fantasy;3;£18.78;In stock (16 available)
http://books.toscrape.com/catalogue/the-art-forger_930/index.html;The Art Forger;Add a comment;3;£40.76;In stock (16 available)
http://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html;My Paris Kitchen: Recipes and Stories;Food and Drink;2;£33.37;In stock (16 available)
http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html;Starving Hearts (Triangular Trade Trilogy, #1);Default;2;£13.99;In stock (19 available)
http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html;The Four Agreements: A Practical Guide to Personal Freedom;Spirituality;5;£17.66;In stock (18 available)
http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html;Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink;History;1;£25.52;In stock (16 available)
http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html;Shakespeare's Sonnets;Poetry;4;£20.66;In stock (19 available)
http://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html;The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind;History;1;£19.73;In stock (16 available)
http://books.toscrape.com/catalogue/masks-and-shadows_909/index.html;Masks and Shadows;Fantasy;2;£56.40;In stock (16 available)
http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html;Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2);Sequential Art;1;£16.28;In stock (16 available)
http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html;The Five Love Languages: How to Express Heartfelt Commitment to Your Mate;Nonfiction;3;£31.05;In stock (18 available)
http://books.toscrape.com/catalogue/set-me-free_988/index.html;Set Me Free;Young Adult;5;£17.46;In stock (19 available)
http://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html;The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution;Spirituality;5;£32.24;In stock (16 available)
http://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html;Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed;Food and Drink;4;£14.02;In stock (16 available)
http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html;Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity;Nonfiction;3;£31.12;In stock (16 available)
http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html;The Elephant Tree;Thriller;5;£23.82;In stock (18 available)
http://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html;Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8);Sequential Art;2;£46.91;In stock (16 available)
http://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html;Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up;Nonfiction;4;£41.83;In stock (16 available)
http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html;Scott Pilgrim's Precious Little Life (Scott Pilgrim #1);Sequential Art;5;£52.29;In stock (19 available)
http://books.toscrape.com/catalogue/this-one-summer_947/index.html;This One Summer;Sequential Art;4;£19.49;In stock (16 available)
http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html;The Bear and the Piano;Childrens;1;£36.89;In stock (18 available)
http://books.toscrape.com/catalogue/thirst_946/index.html;Thirst;Fiction;5;£17.27;In stock (16 available)
http://books.toscrape.com/catalogue/soul-reader_926/index.html;Soul Reader;Default;2;£39.58;In stock (16 available)
http://books.toscrape.com/catalogue/sophies-world_966/index.html;Sophie's World;Philosophy;5;£15.94;In stock (18 available)
http://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html;Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4);Sequential Art;3;£45.61;In stock (16 available)
http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html;Rip it Up and Start Again;Music;5;£35.02;In stock (19 available)
http://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html;The Torch Is Passed: A Harding Family Story;Add a comment;1;£19.09;In stock (16 available)
http://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html;Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12);Sequential Art;2;£19.92;In stock (16 available)
http://books.toscrape.com/catalogue/security_925/index.html;Security;Horror;2;£39.25;In stock (16 available)
http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html;Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991;Music;3;£57.25;In stock (19 available)
http://books.toscrape.com/catalogue/penny-maybe_965/index.html;Penny Maybe;Default;3;£33.29;In stock (18 available)
http://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html;Layered: Baking, Building, and Styling Spectacular Cakes;Food and Drink;1;£40.11;In stock (16 available)
http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html;The Secret of Dreadwillow Carse;Childrens;1;£56.13;In stock (16 available)
http://books.toscrape.com/catalogue/olio_984/index.html;Olio;Poetry;1;£23.88;In stock (19 available)
http://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html;Saga, Volume 6 (Saga (Collected Editions) #6);Fantasy;3;£25.02;In stock (16 available)
http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html;Maude (1883-1993):She Grew Up with the country;Default;2;£18.02;In stock (18 available)
http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html;In a Dark, Dark Wood;Mystery;1;£19.63;In stock (18 available)
http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html;Mesaerion: The Best Science Fiction Stories 1800-1849;Science Fiction;1;£37.59;In stock (19 available)
http://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html;The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!;Food and Drink;1;£56.41;In stock (16 available)
http://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html;Saga, Volume 5 (Saga (Collected Editions) #5);Sequential Art;2;£51.04;In stock (16 available)
http://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html;Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners);Add a comment;2;£53.90;In stock (16 available)
http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html;Behind Closed Doors;Thriller;4;£52.22;In stock (18 available)
http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html;Libertarianism for Beginners;Politics;2;£51.33;In stock (19 available)
http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html;The Past Never Ends;Mystery;4;£56.50;In stock (16 available)
http://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html;Reskilling America: Learning to Labor in the Twenty-First Century;Nonfiction;2;£19.83;In stock (16 available)
http://books.toscrape.com/catalogue/join_902/index.html;Join;Science Fiction;5;£35.67;In stock (16 available)
http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html;You can't bury them all: Poems;Poetry;2;£33.63;In stock (17 available)
http://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html;In the Country We Love: My Family Divided;Nonfiction;4;£22.00;In stock (16 available)
http://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html;Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15);Sequential Art;3;£50.40;In stock (16 available)
http://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html;The Natural History of Us (The Fine Art of Pretending #2);Young Adult;3;£45.22;In stock (16 available)
http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html;It's Only the Himalayas;Travel;2;£45.17;In stock (19 available)
http://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html;Algorithms to Live By: The Computer Science of Human Decisions;Nonfiction;1;£30.81;In stock (16 available)
http://books.toscrape.com/catalogue/modern-romance_820/index.html;Modern Romance;Add a comment;5;£28.26;In stock (15 available)
http://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html;The Shadow Hero (The Shadow Hero);Sequential Art;1;£33.14;In stock (15 available)
http://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html;Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine;Science;5;£57.36;In stock (16 available)
http://books.toscrape.com/catalogue/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html;The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.;Default;3;£32.00;In stock (15 available)
http://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html;I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5);Sequential Art;2;£29.17;In stock (16 available)
http://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html;A World of Flavor: Your Gluten Free Passport;Default;1;£42.95;In stock (16 available)
http://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html;The Secret (The Secret #1);Default;4;£27.37;In stock (15 available)
http://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html;The Artist's Way: A Spiritual Path to Higher Creativity;Nonfiction;5;£38.49;In stock (15 available)
http://books.toscrape.com/catalogue/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html;Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1);Default;1;£10.76;In stock (15 available)
http://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html;I am a Hero Omnibus Volume 1;Sequential Art;3;£54.63;In stock (16 available)
http://books.toscrape.com/catalogue/louisa-the-extraordinary-life-of-mrs-adams_818/index.html;Louisa: The Extraordinary Life of Mrs. Adams;Biography;2;£16.85;In stock (15 available)
http://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html;A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations;Default;5;£56.76;In stock (16 available)
http://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html;The Regional Office Is Under Attack!;Fiction;5;£51.36;In stock (15 available)
http://books.toscrape.com/catalogue/the-art-of-war_838/index.html;The Art of War;Default;5;£33.34;In stock (15 available)
http://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html;How to Be Miserable: 40 Strategies You Already Use;Self Help;1;£46.03;In stock (16 available)
http://books.toscrape.com/catalogue/little-red_817/index.html;Little Red;Childrens;3;£13.47;In stock (15 available)
http://books.toscrape.com/catalogue/a-murder-in-time_877/index.html;A Murder in Time;Mystery;1;£16.64;In stock (16 available)
http://books.toscrape.com/catalogue/the-argonauts_837/index.html;The Argonauts;Autobiography;2;£10.93;In stock (15 available)
http://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html;The Psychopath Test: A Journey Through the Madness Industry;Default;2;£36.00;In stock (15 available)
http://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html;Her Backup Boyfriend (The Sorensen Family #1);Romance;1;£33.97;In stock (16 available)
http://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html;A Flight of Arrows (The Pathfinders #2);Historical Fiction;5;£55.53;In stock (16 available)
http://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html;The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job;Business;3;£27.55;In stock (15 available)
http://books.toscrape.com/catalogue/the-project_856/index.html;The Project;Science Fiction;1;£10.65;In stock (15 available)
http://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html;Library of Souls (Miss Peregrine’s Peculiar Children #3);Young Adult;5;£48.56;In stock (15 available)
http://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html;Giant Days, Vol. 2 (Giant Days #5-8);Sequential Art;2;£22.11;In stock (16 available)
http://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html;The Power of Now: A Guide to Spiritual Enlightenment;Nonfiction;2;£43.54;In stock (15 available)
http://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html;Suddenly in Love (Lake Haven #1);Romance;2;£55.99;In stock (15 available)
http://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html;A Fierce and Subtle Poison;Young Adult;4;£28.13;In stock (16 available)
http://books.toscrape.com/catalogue/large-print-heart-of-the-pride_815/index.html;Large Print Heart of the Pride;Default;2;£19.15;In stock (15 available)
http://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html;Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton;Historical Fiction;3;£29.69;In stock (16 available)
http://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html;The Omnivore's Dilemma: A Natural History of Four Meals;Nonfiction;2;£38.21;In stock (15 available)
http://books.toscrape.com/catalogue/something-more-than-this_834/index.html;Something More Than This;Romance;4;£16.24;In stock (15 available)
http://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html;I Had a Nice Time And Other Lies...: How to find love & sh*t like that;Womens Fiction;4;£57.36;In stock (15 available)
http://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html;A Court of Thorns and Roses (A Court of Thorns and Roses #1);Fantasy;1;£52.37;In stock (16 available)
http://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html;First and First (Five Boroughs #3);Romance;4;£15.97;In stock (16 available)
http://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html;The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us;Food and Drink;5;£37.34;In stock (15 available)
http://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html;Hollow City (Miss Peregrine’s Peculiar Children #2);Fantasy;1;£42.98;In stock (15 available)
http://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html;(Un)Qualified: How God Uses Broken People to Do Big Things;Christian;5;£54.00;In stock (16 available)
http://books.toscrape.com/catalogue/soft-apocalypse_833/index.html;Soft Apocalypse;Science Fiction;2;£26.12;In stock (15 available)
http://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html;Fifty Shades Darker (Fifty Shades #2);Romance;1;£21.96;In stock (16 available)
http://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html;So You've Been Publicly Shamed;Nonfiction;2;£12.23;In stock (15 available)
http://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html;The Murder of Roger Ackroyd (Hercule Poirot #4);Mystery;4;£44.10;In stock (15 available)
http://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html;You Are What You Love: The Spiritual Power of Habit;Religion;4;£21.87;In stock (15 available)
http://books.toscrape.com/catalogue/grumbles_812/index.html;Grumbles;Default;2;£22.16;In stock (15 available)
http://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html;Everydata: The Misinformation Hidden in the Little Data You Consume Every Day;Nonfiction;2;£54.35;In stock (16 available)
http://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html;The Mistake (Off-Campus #2);New Adult;3;£43.29;In stock (15 available)
http://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html;Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master;Religion;2;£37.97;In stock (16 available)
http://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html;Shoe Dog: A Memoir by the Creator of NIKE;Business;2;£23.99;In stock (15 available)
http://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html;William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4);Science Fiction;4;£43.30;In stock (15 available)
http://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html;Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond;Travel;4;£49.43;In stock (15 available)
http://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html;The Matchmaker's Playbook (Wingmen Inc. #1);New Adult;1;£55.85;In stock (15 available)
http://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html;Danganronpa Volume 1;Sequential Art;4;£51.99;In stock (16 available)
http://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html;Frostbite (Vampire Academy #2);Young Adult;5;£29.99;In stock (15 available)
http://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html;Tuesday Nights in 1980;Fiction;2;£21.04;In stock (15 available)
http://books.toscrape.com/catalogue/shobu-samurai-project-aryoku-3_830/index.html;Shobu Samurai, Project Aryoku (#3);Add a comment;3;£29.06;In stock (15 available)
http://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html;The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking;Food and Drink;2;£37.60;In stock (15 available)
http://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html;Tracing Numbers on a Train;Default;3;£41.60;In stock (15 available)
http://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html;Crown of Midnight (Throne of Glass #2);Fantasy;3;£43.29;In stock (16 available)
