url;title;category;stars;price;in_stock;qty_in_stock
/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html;Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics;History;2;36.28;True;16
/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html;The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy;Add a comment;4;23.89;True;16
/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html;#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.;Nonfiction;5;23.11;True;17
/sharp-objects_997/index.html;Sharp Objects;Mystery;4;47.82;True;20
/chase-me-paris-nights-2_977/index.html;Chase Me (Paris Nights #2);Romance;5;25.27;True;19
/patience_916/index.html;Patience;Sequential Art;3;10.16;True;16
/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html;The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing;Nonfiction;3;16.77;True;16
/black-dust_976/index.html;Black Dust;Romance;5;34.53;True;19
/without-borders-wanderlove-1_956/index.html;Without Borders (Wanderlove #1);New Adult;2;45.07;True;16
/sapiens-a-brief-history-of-humankind_996/index.html;Sapiens: A Brief History of Humankind;History;5;54.23;True;20
/birdsong-a-story-in-pictures_975/index.html;Birdsong: A Story in Pictures;Childrens;3;54.64;True;19
/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html;The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer;Default;5;20.59;True;16
/when-we-collided_955/index.html;When We Collided;Contemporary;1;31.77;True;16
/the-requiem-red_995/index.html;The Requiem Red;Young Adult;1;22.65;True;19
/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html;Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1);Sequential Art;4;15.44;True;16
/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html;orange: The Complete Collection 1 (orange: The Complete Collection #1);Sequential Art;1;48.41;True;16
/we-love-you-charlie-freeman_954/index.html;We Love You, Charlie Freeman;Fiction;5;50.27;True;16
/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html;America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana;Default;3;22.50;True;19
/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html;The Gutsy Girl: Escapades for Your Life of Epic Adventure;Nonfiction;1;37.13;True;16
/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html;The Dirty Little Secrets of Getting Your Dream Job;Business;4;33.34;True;19
/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html;The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull;Default;3;17.93;True;19
/untitled-collection-sabbath-poems-2014_953/index.html;Untitled Collection: Sabbath Poems 2014;Poetry;4;14.27;True;16
/aladdin-and-his-wonderful-lamp_973/index.html;Aladdin and His Wonderful Lamp;Default;3;53.13;True;19
/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html;The Electric Pencil: Drawings from Inside State Hospital No. 3;Nonfiction;1;56.06;True;16
/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html;Online Marketing for Busy Authors: A Step-By-Step Guide;Self Help;1;46.35;True;16
/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html;The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics;Default;4;22.60;True;19
/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html;Worlds Elsewhere: Journeys Around Shakespeare’s Globe;Nonfiction;5;40.30;True;18
/the-death-of-humanity-and-the-case-for-life_932/index.html;The Death of Humanity: and the Case for Life;Philosophy;4;58.11;True;16
/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html;Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness;Nonfiction;4;44.18;True;16
/on-a-midnight-clear_912/index.html;On a Midnight Clear;Add a comment;3;14.07;True;16
/the-black-maria_991/index.html;The Black Maria;Poetry;1;52.15;True;19
/obsidian-lux-1_911/index.html;Obsidian (Lux #1);Young Adult;2;14.86;True;16
/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html;The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life;Health;3;49.05;True;16
/unicorn-tracks_951/index.html;Unicorn Tracks;Fantasy;3;18.78;True;16
/wall-and-piece_971/index.html;Wall and Piece;Art;4;44.18;True;18
/my-paris-kitchen-recipes-and-stories_910/index.html;My Paris Kitchen: Recipes and Stories;Food and Drink;2;33.37;True;16
/starving-hearts-triangular-trade-trilogy-1_990/index.html;Starving Hearts (Triangular Trade Trilogy, #1);Default;2;13.99;True;19
/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html;Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink;History;1;25.52;True;16
/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html;The Four Agreements: A Practical Guide to Personal Freedom;Spirituality;5;17.66;True;18
/the-art-forger_930/index.html;The Art Forger;Add a comment;3;40.76;True;16
/masks-and-shadows_909/index.html;Masks and Shadows;Fantasy;2;56.40;True;16
/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html;The Five Love Languages: How to Express Heartfelt Commitment to Your Mate;Nonfiction;3;31.05;True;18
/shakespeares-sonnets_989/index.html;Shakespeare's Sonnets;Poetry;4;20.66;True;19
/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html;Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2);Sequential Art;1;16.28;True;16
/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html;Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed;Food and Drink;4;14.02;True;16
/the-elephant-tree_968/index.html;The Elephant Tree;Thriller;5;23.82;True;18
/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html;Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity;Nonfiction;3;31.12;True;16
/set-me-free_988/index.html;Set Me Free;Young Adult;5;17.46;True;19
/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html;The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind;History;1;19.73;True;16
/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html;Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8);Sequential Art;2;46.91;True;16
/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html;Scott Pilgrim's Precious Little Life (Scott Pilgrim #1);Sequential Art;5;52.29;True;19
/the-bear-and-the-piano_967/index.html;The Bear and the Piano;Childrens;1;36.89;True;18
/this-one-summer_947/index.html;This One Summer;Sequential Art;4;19.49;True;16
/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html;The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution;Spirituality;5;32.24;True;16
/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html;Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4);Sequential Art;3;45.61;True;16
/rip-it-up-and-start-again_986/index.html;Rip it Up and Start Again;Music;5;35.02;True;19
/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html;Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up;Nonfiction;4;41.83;True;16
/sophies-world_966/index.html;Sophie's World;Philosophy;5;15.94;True;18
/thirst_946/index.html;Thirst;Fiction;5;17.27;True;16
/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html;Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12);Sequential Art;2;19.92;True;16
/soul-reader_926/index.html;Soul Reader;Default;2;39.58;True;16
/penny-maybe_965/index.html;Penny Maybe;Default;3;33.29;True;18
/the-torch-is-passed-a-harding-family-story_945/index.html;The Torch Is Passed: A Harding Family Story;Add a comment;1;19.09;True;16
/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html;Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991;Music;3;57.25;True;19
/layered-baking-building-and-styling-spectacular-cakes_904/index.html;Layered: Baking, Building, and Styling Spectacular Cakes;Food and Drink;1;40.11;True;16
/security_925/index.html;Security;Horror;2;39.25;True;16
/the-secret-of-dreadwillow-carse_944/index.html;The Secret of Dreadwillow Carse;Childrens;1;56.13;True;16
/maude-1883-1993she-grew-up-with-the-country_964/index.html;Maude (1883-1993):She Grew Up with the country;Default;2;18.02;True;18
/olio_984/index.html;Olio;Poetry;1;23.88;True;19
/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html;Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners);Add a comment;2;53.90;True;16
/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html;The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!;Food and Drink;1;56.41;True;16
/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html;Mesaerion: The Best Science Fiction Stories 1800-1849;Science Fiction;1;37.59;True;19
/join_902/index.html;Join;Science Fiction;5;35.67;True;16
/saga-volume-6-saga-collected-editions-6_924/index.html;Saga, Volume 6 (Saga (Collected Editions) #6);Fantasy;3;25.02;True;16
/in-a-dark-dark-wood_963/index.html;In a Dark, Dark Wood;Mystery;1;19.63;True;18
/the-past-never-ends_942/index.html;The Past Never Ends;Mystery;4;56.50;True;16
/in-the-country-we-love-my-family-divided_901/index.html;In the Country We Love: My Family Divided;Nonfiction;4;22.00;True;16
/saga-volume-5-saga-collected-editions-5_923/index.html;Saga, Volume 5 (Saga (Collected Editions) #5);Sequential Art;2;51.04;True;16
/behind-closed-doors_962/index.html;Behind Closed Doors;Thriller;4;52.22;True;18
/libertarianism-for-beginners_982/index.html;Libertarianism for Beginners;Politics;2;51.33;True;19
/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html;The Natural History of Us (The Fine Art of Pretending #2);Young Adult;3;45.22;True;16
/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html;Reskilling America: Learning to Labor in the Twenty-First Century;Nonfiction;2;19.83;True;16
/you-cant-bury-them-all-poems_961/index.html;You can't bury them all: Poems;Poetry;2;33.63;True;17
/its-only-the-himalayas_981/index.html;It's Only the Himalayas;Travel;2;45.17;True;19
/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html;The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.;Default;3;32.00;True;15
/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html;Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15);Sequential Art;3;50.40;True;16
/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html;The Artist's Way: A Spiritual Path to Higher Creativity;Nonfiction;5;38.49;True;15
/the-art-of-war_838/index.html;The Art of War;Default;5;33.34;True;15
/the-argonauts_837/index.html;The Argonauts;Autobiography;2;10.93;True;15
/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html;The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job;Business;3;27.55;True;15
/suddenly-in-love-lake-haven-1_835/index.html;Suddenly in Love (Lake Haven #1);Romance;2;55.99;True;15
/something-more-than-this_834/index.html;Something More Than This;Romance;4;16.24;True;15
/soft-apocalypse_833/index.html;Soft Apocalypse;Science Fiction;2;26.12;True;15
/so-youve-been-publicly-shamed_832/index.html;So You've Been Publicly Shamed;Nonfiction;2;12.23;True;15
/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html;Shoe Dog: A Memoir by the Creator of NIKE;Business;2;23.99;True;15
/shobu-samurai-project-aryoku-3_830/index.html;Shobu Samurai, Project Aryoku (#3);Add a comment;3;29.06;True;15
/secrets-and-lace-fatal-hearts-1_829/index.html;Secrets and Lace (Fatal Hearts #1);Default;1;20.27;True;15
/the-shadow-hero-the-shadow-hero_860/index.html;The Shadow Hero (The Shadow Hero);Sequential Art;1;33.14;True;15
/modern-romance_820/index.html;Modern Romance;Add a comment;5;28.26;True;15
/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html;Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine;Science;5;57.36;True;16
/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html;Algorithms to Live By: The Computer Science of Human Decisions;Nonfiction;1;30.81;True;16
/scarlett-epstein-hates-it-here_828/index.html;Scarlett Epstein Hates It Here;Young Adult;5;43.55;True;15
/a-world-of-flavor-your-gluten-free-passport_879/index.html;A World of Flavor: Your Gluten Free Passport;Default;1;42.95;True;16
/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html;Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1);Default;1;10.76;True;15
/the-secret-the-secret-1_859/index.html;The Secret (The Secret #1);Default;4;27.37;True;15
/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html;I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5);Sequential Art;2;29.17;True;16
/romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html;Romero and Juliet: A Tragic Tale of Love and Zombies;Default;1;36.94;True;15
/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html;A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations;Default;5;56.76;True;16
/louisa-the-extraordinary-life-of-mrs-adams_818/index.html;Louisa: The Extraordinary Life of Mrs. Adams;Biography;2;16.85;True;15
/the-regional-office-is-under-attack_858/index.html;The Regional Office Is Under Attack!;Fiction;5;51.36;True;15
/i-am-a-hero-omnibus-volume-1_898/index.html;I am a Hero Omnibus Volume 1;Sequential Art;3;54.63;True;16
/redeeming-love_826/index.html;Redeeming Love;Christian Fiction;5;20.47;True;15
/a-murder-in-time_877/index.html;A Murder in Time;Mystery;1;16.64;True;16
/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html;The Psychopath Test: A Journey Through the Madness Industry;Default;2;36.00;True;15
/how-to-be-miserable-40-strategies-you-already-use_897/index.html;How to Be Miserable: 40 Strategies You Already Use;Self Help;1;46.03;True;16
/little-red_817/index.html;Little Red;Childrens;3;13.47;True;15
/poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html;Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form;Default;1;41.06;True;15
/a-flight-of-arrows-the-pathfinders-2_876/index.html;A Flight of Arrows (The Pathfinders #2);Historical Fiction;5;55.53;True;16
/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html;Library of Souls (Miss Peregrine’s Peculiar Children #3);Young Adult;5;48.56;True;15
/her-backup-boyfriend-the-sorensen-family-1_896/index.html;Her Backup Boyfriend (The Sorensen Family #1);Romance;1;33.97;True;16
/the-project_856/index.html;The Project;Science Fiction;1;10.65;True;15
/poems-that-make-grown-women-cry_824/index.html;Poems That Make Grown Women Cry;Poetry;4;14.19;True;15
/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html;The Power of Now: A Guide to Spiritual Enlightenment;Nonfiction;2;43.54;True;15
/giant-days-vol-2-giant-days-5-8_895/index.html;Giant Days, Vol. 2 (Giant Days #5-8);Sequential Art;2;22.11;True;16
/a-fierce-and-subtle-poison_875/index.html;A Fierce and Subtle Poison;Young Adult;4;28.13;True;16
/large-print-heart-of-the-pride_815/index.html;Large Print Heart of the Pride;Default;2;19.15;True;15
/nightingale-sing_823/index.html;Nightingale, Sing;Young Adult;1;38.28;True;15
/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html;A Court of Thorns and Roses (A Court of Thorns and Roses #1);Fantasy;1;52.37;True;16
/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html;The Omnivore's Dilemma: A Natural History of Four Meals;Nonfiction;2;38.21;True;15
/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html;Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton;Historical Fiction;3;29.69;True;16
/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html;I Had a Nice Time And Other Lies...: How to find love & sh*t like that;Womens Fiction;4;57.36;True;15
/night-sky-with-exit-wounds_822/index.html;Night Sky with Exit Wounds;Poetry;1;41.05;True;15
/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html;(Un)Qualified: How God Uses Broken People to Do Big Things;Christian;5;54.00;True;16
/first-and-first-five-boroughs-3_893/index.html;First and First (Five Boroughs #3);Romance;4;15.97;True;16
/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html;The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us;Food and Drink;5;37.34;True;15
/mrs-houdini_821/index.html;Mrs. Houdini;Historical Fiction;5;30.25;True;15
/hollow-city-miss-peregrines-peculiar-children-2_813/index.html;Hollow City (Miss Peregrine’s Peculiar Children #2);Fantasy;1;42.98;True;15
/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html;You Are What You Love: The Spiritual Power of Habit;Religion;4;21.87;True;15
/grumbles_812/index.html;Grumbles;Default;2;22.16;True;15
/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html;The Murder of Roger Ackroyd (Hercule Poirot #4);Mystery;4;44.10;True;15
/fifty-shades-darker-fifty-shades-2_892/index.html;Fifty Shades Darker (Fifty Shades #2);Romance;1;21.96;True;16
/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html;William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4);Science Fiction;4;43.30;True;15
/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html;Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond;Travel;4;49.43;True;15
/the-mistake-off-campus-2_851/index.html;The Mistake (Off-Campus #2);New Adult;3;43.29;True;15
/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html;Everydata: The Misinformation Hidden in the Little Data You Consume Every Day;Nonfiction;2;54.35;True;16
/tuesday-nights-in-1980_870/index.html;Tuesday Nights in 1980;Fiction;2;21.04;True;15
/frostbite-vampire-academy-2_810/index.html;Frostbite (Vampire Academy #2);Young Adult;5;29.99;True;15
/the-matchmakers-playbook-wingmen-inc-1_850/index.html;The Matchmaker's Playbook (Wingmen Inc. #1);New Adult;1;55.85;True;15
/the-power-of-habit-why-we-do-what-we-do-in-life-and-business_760/index.html;The Power of Habit: Why We Do What We Do in Life and Business;Default;3;16.88;True;14
/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html;Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master;Religion;2;37.97;True;16
/tracing-numbers-on-a-train_869/index.html;Tracing Numbers on a Train;Default;3;41.60;True;15
/follow-you-home_809/index.html;Follow You Home;Horror;1;21.36;True;15
/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html;The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking;Food and Drink;2;37.60;True;15
/danganronpa-volume-1_889/index.html;Danganronpa Volume 1;Sequential Art;4;51.99;True;16
/the-marriage-of-opposites_759/index.html;The Marriage of Opposites;Historical Fiction;4;28.08;True;14
/throne-of-glass-throne-of-glass-1_868/index.html;Throne of Glass (Throne of Glass #1);Fantasy;3;35.07;True;15
/first-steps-for-new-christians-print-edition_808/index.html;First Steps for New Christians (Print Edition);Default;1;29.00;True;15
/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html;The Long Shadow of Small Ghosts: Murder and Memory in an American City;Crime;1;10.97;True;15
/the-lucifer-effect-understanding-how-good-people-turn-evil_758/index.html;The Lucifer Effect: Understanding How Good People Turn Evil;Psychology;1;10.40;True;14
/crown-of-midnight-throne-of-glass-2_888/index.html;Crown of Midnight (Throne of Glass #2);Fantasy;3;43.29;True;16
/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html;Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History;History;1;59.64;True;15
/finders-keepers-bill-hodges-trilogy-2_807/index.html;Finders Keepers (Bill Hodges Trilogy #2);Fiction;5;53.53;True;15
/the-kite-runner_847/index.html;The Kite Runner;Default;4;41.82;True;15
/codename-baboushka-volume-1-the-conclave-of-death_887/index.html;Codename Baboushka, Volume 1: The Conclave of Death;Sequential Art;4;36.72;True;16
/the-long-haul-diary-of-a-wimpy-kid-9_757/index.html;The Long Haul (Diary of a Wimpy Kid #9);Humor;1;44.07;True;14
/thirteen-reasons-why_866/index.html;Thirteen Reasons Why;Default;1;52.72;True;15
/fables-vol-1-legends-in-exile-fables-1_806/index.html;Fables, Vol. 1: Legends in Exile (Fables #1);Sequential Art;4;41.62;True;15
/the-house-by-the-lake_846/index.html;The House by the Lake;Historical Fiction;1;36.95;True;15
/camp-midnight_886/index.html;Camp Midnight;Sequential Art;4;17.08;True;16
/the-loney_756/index.html;The Loney;Horror;1;23.40;True;14
/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html;The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”;Childrens;4;58.08;True;15
/eureka-trivia-60_805/index.html;Eureka Trivia 6.0;Default;4;54.59;True;15
/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html;Call the Nurse: True Stories of a Country Nurse on a Scottish Isle;Nonfiction;5;29.14;True;16
/the-glittering-court-the-glittering-court-1_845/index.html;The Glittering Court (The Glittering Court #1);Fantasy;1;44.28;True;15
/the-literature-book-big-ideas-simply-explained_755/index.html;The Literature Book (Big Ideas Simply Explained);Nonfiction;3;17.43;True;14
/the-wedding-dress_864/index.html;The Wedding Dress;Romance;1;24.12;True;15
/drive-the-surprising-truth-about-what-motivates-us_804/index.html;Drive: The Surprising Truth About What Motivates Us;Default;4;34.95;True;15
/the-last-mile-amos-decker-2_754/index.html;The Last Mile (Amos Decker #2);Mystery;2;54.21;True;14
/the-girl-on-the-train_844/index.html;The Girl on the Train;Default;2;55.02;True;15
/burning_884/index.html;Burning;Young Adult;3;28.81;True;16
/the-vacationers_863/index.html;The Vacationers;Fiction;4;42.15;True;15
/done-rubbed-out-reightman-bailey-1_803/index.html;Done Rubbed Out (Reightman & Bailey #1);Default;5;37.72;True;15
/the-genius-of-birds_843/index.html;The Genius of Birds;Nonfiction;1;17.24;True;15
/bossypants_883/index.html;Bossypants;Default;2;49.46;True;16
/the-immortal-life-of-henrietta-lacks_753/index.html;The Immortal Life of Henrietta Lacks;Add a comment;2;40.67;True;14
/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html;The Third Wave: An Entrepreneur’s Vision of the Future;Business;5;12.61;True;15
/doing-it-over-most-likely-to-1_802/index.html;Doing It Over (Most Likely To #1);Romance;3;35.61;True;15
/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html;Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions));Sequential Art;2;37.92;True;16
/the-stranger_861/index.html;The Stranger;Philosophy;4;17.44;True;15
/the-emerald-mystery_842/index.html;The Emerald Mystery;Default;2;23.15;True;15
/the-hidden-oracle-the-trials-of-apollo-1_752/index.html;The Hidden Oracle (The Trials of Apollo #1);Fantasy;2;52.26;True;14
/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html;Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals;Food and Drink;3;42.16;True;15
/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html;Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3);Fantasy;2;28.09;True;16
/the-help-yourself-cookbook-for-kids-60-easy-plant-based-recipes-kids-can-make-to-stay-healthy-and-save-the-earth_751/index.html;The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth;Food and Drink;3;28.77;True;14
/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html;The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First;Food and Drink;1;41.25;True;15
/the-guilty-will-robie-4_750/index.html;The Guilty (Will Robie #4);Thriller;2;13.82;True;14
/dark-notes_800/index.html;Dark Notes;Erotica;5;19.19;True;15
/swell-a-year-of-waves_740/index.html;Swell: A Year of Waves;Nonfiction;1;45.58;True;14
/my-name-is-lucy-barton_720/index.html;My Name Is Lucy Barton;Fiction;1;41.56;True;14
